"filename", "language", "XML", "YAML", "Java", "Markdown", "Docker", "comment", "blank", "total"
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\ProducerConsumer\ProducerConsumer.java", "Java", 0, 0, 26, 0, 0, 0, 9, 35
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\StrategyPattern\ConsumerStrategy.java", "Java", 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\designpatterns\StrategyPattern\ProducerStrategy.java", "Java", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\engine\EngineIds.java", "Java", 0, 0, 48, 0, 0, 7, 10, 65
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\Gui.java", "Java", 0, 0, 88, 0, 0, 16, 20, 124
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\gui\ScrollBarObserver.java", "Java", 0, 0, 26, 0, 0, 2, 6, 34
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\producer\ProducerLive.java", "Java", 0, 0, 38, 0, 0, 0, 9, 47
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\producer\ProducerPcap.java", "Java", 0, 0, 34, 0, 0, 1, 8, 43
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\HexToAscii.java", "Java", 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\PacketParser.java", "Java", 0, 0, 59, 0, 0, 4, 5, 68
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RegexPattern.java", "Java", 0, 0, 93, 0, 0, 16, 13, 122
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\java\com\example\util\RulesValidation.java", "Java", 0, 0, 38, 0, 0, 4, 4, 46
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\main\resources\log4j2.xml", "XML", 13, 0, 0, 0, 0, 0, 1, 14
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\src\test\java\com\example\AppTest.java", "Java", 0, 0, 11, 0, 0, 28, 4, 43
"c:\Users\ahmed\OneDrive\Desktop\information\college\second term year 3\oop\project\IDS\target\classes\log4j2.xml", "XML", 13, 0, 0, 0, 0, 0, 1, 14
"Total", "-", 167, 20, 1329, 25, 27, 229, 333, 2130
